trials,ID,session,outcome,response,confidence
149,48,1,61,74.0,0.534298700000363
150,48,1,57,69.0,0.134565100001055
151,48,1,64,59.0,0.26764909999838
152,48,1,59,53.0,0.250955199997406
153,48,1,51,52.0,0.184223799999018
154,48,1,66,48.0,0.400924500001565
155,48,1,67,58.0,0.63426199999958
156,48,1,52,62.0,0.517544099999213
157,48,1,62,58.0,0.334267800000816
158,48,1,67,60.0,0.484575400001631
159,48,1,67,69.0,0.600919100001192
160,48,1,57,66.0,0.3842341999989
161,48,1,66,60.0,0.400959099999454
162,48,1,67,63.0,0.867607199998019
163,48,1,79,68.0,0.734333799999149
164,48,1,85,75.0,0.517657399999734
165,48,1,100,91.0,0.534336400000029
166,48,1,99,95.0,0.367662399999972
167,48,1,80,96.0,0.634260400001949
168,48,1,100,88.0,0.134621600001992
169,48,1,78,95.0,0.550953300000401
170,48,1,61,87.0,0.434259000001475
171,48,1,100,77.0,0.317740200000117
172,48,1,62,87.0,0.350874300002033
173,48,1,33,82.0,0.134251700001187
174,48,1,55,34.0,0.150970200000302
175,48,1,48,49.0,0.217639900001814
176,48,1,71,43.0,0.567558799997641
177,48,1,39,63.0,0.35094190000018
178,48,1,59,58.0,0.20095549999678
179,48,1,30,57.0,0.417603100002452
180,48,1,47,46.0,0.400933500000974
181,48,1,39,48.0,0.367630799999461
182,48,1,56,46.0,0.484333100001095
183,48,1,40,49.0,0.234245399999054
184,48,1,56,48.0,0.167636800000764
185,48,1,25,48.0,0.550857199999882
186,48,1,26,33.0,0.167508700000326
187,48,1,24,25.0,0.201272800000879
188,48,1,41,25.0,0.667575399998896
189,48,1,43,37.0,0.284335399999691
190,48,1,30,36.0,0.350981199997477
191,48,1,10,28.0,0.3509129999984
192,48,1,55,24.0,0.217487600002642
193,48,1,42,36.0,0.0343461000011303
194,48,1,24,40.0,0.500948900000367
195,48,1,30,38.0,0.250992799999949
196,48,1,57,34.0,0.267616599998291
197,48,1,47,37.0,0.200933500000247
198,48,1,67,45.0,0.234243999999308
199,48,1,34,66.0,0.26799580000079
200,48,1,71,38.0,0.234307099999569
201,48,1,64,55.0,0.167606400002114
202,48,1,64,60.0,0.284154100001615
203,48,1,55,66.0,0.517603799999051
204,48,1,51,66.0,0.367561600000045
205,48,1,63,59.0,0.317594299998746
206,48,1,90,72.0,0.518061899998429
207,48,1,51,82.0,0.667589399999997
208,48,1,71,63.0,0.100944900001195
209,48,1,65,74.0,0.334072599998763
210,48,1,88,68.0,0.334189900000638
211,48,1,53,74.0,0.417417200002092
212,48,1,81,65.0,0.134292299997469
213,48,1,81,73.0,0.200958200002788
214,48,1,57,71.0,0.184290400000464
215,48,1,100,57.0,0.167597200001183
216,48,1,85,89.0,0.16761889999907
217,48,1,55,76.0,0.134101700001338
218,48,1,46,66.0,0.100918500000262
219,48,1,90,39.0,0.167611099997885
220,48,1,89,71.0,0.100961000000098
221,48,1,71,86.0,0.184176800001296
222,48,1,93,83.0,0.501018199996906
223,48,1,64,82.0,0.234258399999817
224,48,1,83,82.0,0.167511799998465
225,48,1,97,82.0,0.534609899998031
226,48,1,77,84.0,0.667974399999366
227,48,1,100,77.0,0.617610500001319
228,48,1,68,90.0,0.517623200001253
229,48,1,63,76.0,0.134280800000852
230,48,1,68,66.0,0.400916399998096
231,48,1,67,70.0,0.517643300001509
232,48,1,54,73.0,0.750951999998506
233,48,1,73,72.0,0.267605999997613
234,48,1,73,73.0,0.201272399997833
235,48,1,82,68.0,0.367997400000604
236,48,1,84,75.0,0.26763800000117
237,48,1,67,77.0,0.234265600000072
238,48,1,70,67.0,0.167586600000504
239,48,1,53,69.0,0.417566599997372
240,48,1,80,58.0,0.317565299999842
1,49,1,62,51.0,0.0338606000000254
2,49,1,55,61.0,0.100913000000219
3,49,1,52,55.0,0.0843013000003339
4,49,1,50,53.0,0.0676518000000215
5,49,1,65,50.0,0.134246900000107
6,49,1,55,57.0,0.134642299999996
7,49,1,43,56.0,0.134335199999896
8,49,1,59,45.0,0.167586799999754
9,49,1,32,56.0,1.08424210000021
10,49,1,46,37.0,0.134323599999789
11,49,1,34,41.0,0.0676585000001069
12,49,1,72,35.0,1.38437770000019
13,49,1,41,87.0,1.28437110000004
14,49,1,35,54.0,1.03429749999987
15,49,1,34,33.0,0.167689800000062
16,49,1,25,33.0,0.667663299999731
17,49,1,59,27.0,0.517619000000195
18,49,1,47,60.0,0.150916600000073
19,49,1,49,48.0,0.067572200000086
20,49,1,47,50.0,0.117664099999729
21,49,1,44,51.0,1.3676031
22,49,1,14,50.0,1.33426790000021
23,49,1,19,28.0,1.36761149999984
24,49,1,5,15.0,1.40098929999976
25,49,1,17,5.0,1.40132510000012
26,49,1,56,21.0,1.40094280000039
27,49,1,63,56.0,1.40092999999979
28,49,1,66,68.0,1.4009530000003
29,49,1,94,67.0,1.38431020000007
30,49,1,54,82.0,1.36772500000006
31,49,1,90,65.0,1.03440430000001
32,49,1,61,77.0,1.36764790000007
33,49,1,55,65.0,1.03420580000011
34,49,1,44,58.0,1.06756760000007
35,49,1,42,46.0,1.16762059999974
36,49,1,67,38.0,1.31763020000017
37,49,1,80,64.0,0.76762030000009
38,49,1,49,79.0,0.0675754000003508
39,49,1,77,45.0,0.134308499999861
40,49,1,70,43.0,0.101049800000055
41,49,1,54,59.0,1.40095870000005
42,49,1,48,53.0,1.3676418
43,49,1,53,42.0,1.41767979999986
44,49,1,53,62.0,0.134310500000083
45,49,1,57,48.0,0.134299699999701
46,49,1,48,52.0,0.10099960000025
47,49,1,38,47.0,0.13437789999989
48,49,1,52,37.0,1.16776189999973
49,49,1,47,46.0,1.25089010000011
50,49,1,39,45.0,1.40090079999982
51,49,1,47,42.0,0.0676178000003347
52,49,1,35,53.0,0.0342210000003433
53,49,1,44,38.0,0.134301900000082
54,49,1,35,46.0,1.35095720000027
55,49,1,45,32.0,0.134336700000404
56,49,1,41,42.0,1.40096140000014
57,49,1,27,47.0,0.101009100000283
58,49,1,7,26.0,1.36765569999989
59,49,1,32,16.0,1.41758290000007
60,49,1,16,33.0,1.4180395999997
61,49,1,3,23.0,0.0676057000000583
62,49,1,27,9.0,0.0675845000000663
63,49,1,33,12.0,0.067647500000021
64,49,1,55,28.0,0.034267799999725
65,49,1,54,72.0,0.100926399999935
66,49,1,60,59.0,1.35095300000012
